"year","id","sex","terr","adjlat","adjlong","subpop","inb","off_mat","nmates","pkins"
"1990","238","2","182","414","722","R1W","0","2","1","0"
"1991","238","2","141","418","816","R1W","0","5","4","0"
"1992","238","2","179","435","801","R1W","0","3","3","0"
"1993","238","2","96","363","824","R1W","0","1","1","0"
"1990","245","2","105","1009","906","R1E","0","1","1","0"
"2006","523","2","218","305","0","R2","0","0","0",NA
"2007","523","2","218","305","0","R2","0","0","0",NA
"2006","536","1","175","267","27","R2","0","0","0",NA
"2007","536","1","175","267","27","R2","0","0","0",NA
"2006","543","1","3","112","351","R2","0","0","0",NA
"2007","543","1","3","112","351","R2","0","0","0",NA
"2006","545","1","137","402","844","R1W","0","0","0",NA
"2007","545","1","137","402","844","R1W","0","0","0",NA
"2006","551","2","234","554","858","R1W","0","0","0",NA
"2007","551","2","234","554","858","R1W","0","0","0",NA
"2006","562","1","178","426","787","R1W","0","0","0",NA
"2007","562","1","178","426","787","R1W","0","0","0",NA
"2006","569","1","145","404","789","R1W","0","0","0",NA
"2007","569","1","145","404","789","R1W","0","0","0",NA
"2006","572","2","286","130","496","SSW","0","0","0",NA
"2007","572","2","286","130","496","SSW","0","0","0",NA
"2006","576","2","11","335","826","R1W","0.009490966796875","0","0",NA
"2007","576","2","11","335","826","R1W","0.009490966796875","0","0",NA
"2006","589","2","215","526","764","R1W","0","0","0",NA
"2007","589","2","215","526","764","R1W","0","0","0",NA
"2006","592","1","226","467","692","R1W","0","0","0",NA
"2007","592","1","226","467","692","R1W","0","0","0",NA
"2006","599","2","254","615","796","R1W","0","0","0",NA
"2007","599","2","254","615","796","R1W","0","0","0",NA
"2006","621","1","139","415","842","R1W","0","0","0",NA
"2007","621","1","139","415","842","R1W","0","0","0",NA
"2006","628","1","90","351","831","R1W","0","0","0",NA
"2007","628","1","90","351","831","R1W","0","0","0",NA
"2006","634","2","242","540","726","R1W","0","0","0",NA
"2007","634","2","242","540","726","R1W","0","0","0",NA
"2006","659","2","58","903","963","R1E","0","0","0",NA
"2007","659","2","58","903","963","R1E","0","0","0",NA
"2006","667","1","25","830","913","R1E","0","0","0",NA
"2007","667","1","25","830","913","R1E","0","0","0",NA
"2006","676","2","245","613","927","R1W","0.175171375274658","0","0",NA
"2007","676","2","245","613","927","R1W","0.175171375274658","0","0",NA
"2006","683","2","263","700","787","R1E","0","0","0",NA
"2007","683","2","263","700","787","R1E","0","0","0",NA
"2006","727","1","105","1009","906","R1E","0","0","0",NA
"2007","727","1","105","1009","906","R1E","0","0","0",NA
"1990","902","2","246","592","856","R1W","0","2","2","0"
"1991","902","2","249","586","837","R1W","0","0","0",NA
"1990","904","1","23","825","886","R1E","0","1","1","0"
"1991","904","1","23","825","886","R1E","0","3","3","0"
"1990","905","2","256","671","944","R1W","0","0","0",NA
"1990","906","2","68","943","860","R1E","0","2","1","0"
"1991","906","2","108","968","881","R1E","0","3","1","0"
"1992","906","2","108","968","881","R1E","0","3","2","0"
"1993","906","2","108","968","881","R1E","0","3","2","0"
"1990","907","2","66","904","885","R1E","0","4","2","0"
"1991","907","2","73","911","800","R1E","0","2","2","0"
"1990","908","1","49","873","887","R1E","0","2","1","0"
"1991","908","1","49","873","887","R1E","0","0","0",NA
"1990","910","1","60","927","902","R1E","0","0","0",NA
"1990","911","1","73","911","800","R1E","0","1","1","0"
"1990","912","1","50","888","882","R1E","0","2","1","0"
"1991","912","1","60","927","902","R1E","0","3","2","0"
"1992","912","1","60","927","902","R1E","0","5","5","0"
"1993","912","1","102","974","912","R1E","0","4","3","0"
"1994","912","1","103","986","912","R1E","0","0","0",NA
"1990","916","1","247","583","860","R1W","0","0","0",NA
"1991","916","1","246","592","856","R1W","0","4","2","0"
"1990","918","2","172","439","787","R1W","0","2","0",NA
"1990","919","1","137","402","844","R1W","0","0","0",NA
"1991","919","1","106","998","887","R1E","0","0","0",NA
"1990","920","1","145","404","789","R1W","0","1","1","0"
"1991","920","1","145","404","789","R1W","0","2","1","0"
"1992","920","1","149","394","780","R1W","0","1","1","0"
"1993","920","1","149","394","780","R1W","0","1","1","0"
"1990","921","1","234","554","858","R1W","0","1","1","0"
"1991","921","1","234","554","858","R1W","0","1","1","0"
"1992","921","1","202","509","812","R1W","0","4","4","0"
"1990","922","1","52","879","822","R1E","0","0","0",NA
"1990","923","2","106","998","887","R1E","0","0","0",NA
"1991","923","2","106","998","887","R1E","0","0","0",NA
"1992","923","2","103","986","912","R1E","0","0","0",NA
"1993","923","2","103","986","912","R1E","0","1","1","0"
"1990","924","1","153","377","758","R1W","0","1","1","0"
"1991","924","1","153","377","758","R1W","0","1","1","0"
"1990","925","1","226","467","692","R1W","0","0","0",NA
"1991","925","1","226","467","692","R1W","0","0","0",NA
"1992","1062","1","280","286","601","SSW","0","0","0",NA
"1993","1062","1","280","286","601","SSW","0","0","0",NA
"1994","1062","1","50","888","882","R1E","0","0","0",NA
"1995","1175","2","218","305","0","R2","0","1","1","0"
"1996","1175","2","218","305","0","R2","0","0","0",NA
"1992","1231","1","24","844","882","R1E","0","0","0",NA
"1993","1231","1","24","844","882","R1E","0","1","1","0"
"1994","1231","1","24","844","882","R1E","0","1","1","0"
"1995","1231","1","24","844","882","R1E","0","2","2","0.126953125"
"1996","1231","1","24","844","882","R1E","0","3","3","0.0592447916666667"
"1997","1231","1","24","844","882","R1E","0","2","1","0.1015625"
"1991","1232","1","53","884","811","R1E","0","0","0",NA
"1992","1232","1","53","884","811","R1E","0","1","1","0"
"1993","1232","1","53","884","811","R1E","0","0","0",NA
"1992","1235","1","39","875","931","R1E","0","0","0",NA
"1993","1235","1","22","812","898","R1E","0","3","2","0.171875"
"1994","1235","1","22","812","898","R1E","0","0","0",NA
"1991","1236","2","41","888","930","R1E","0","0","0",NA
"1992","1236","2","41","888","930","R1E","0","2","2","0"
"1993","1236","2","41","888","930","R1E","0","7","6","0.078125"
"1994","1236","2","41","888","930","R1E","0","2","2","0.15625"
"1992","1238","2","49","873","887","R1E","0","0","0",NA
"1993","1238","2","139","415","842","R1W","0","0","0",NA
"1992","1239","1","40","888","940","R1E","0","0","0",NA
"1993","1239","1","39","875","931","R1E","0","0","0",NA
"1992","1240","1","250","575","792","R1W","0","0","0",NA
"1993","1240","1","250","575","792","R1W","0","0","0",NA
"1994","1240","1","251","592","749","R1W","0","0","0",NA
"1991","1242","2","246","592","856","R1W","0","0","0",NA
"1992","1242","2","246","592","856","R1W","0","1","1","0"
"1993","1242","2","246","592","856","R1W","0","3","2","0"
"1994","1242","2","249","586","837","R1W","0","0","0",NA
"1995","1242","2","234","554","858","R1W","0","0","0",NA
"1992","1243","2","250","575","792","R1W","0.125","0","0",NA
"1993","1243","2","210","491","776","R1W","0.125","0","0",NA
"1994","1243","2","210","491","776","R1W","0.125","0","0",NA
"1991","1244","2","249","586","837","R1W","0","0","0",NA
"1992","1244","2","249","586","837","R1W","0","3","2","0.0625"
"1993","1244","2","249","586","837","R1W","0","1","1","0"
"1994","1244","2","236","568","813","R1W","0","0","0",NA
"1991","1245","2","141","418","816","R1W","0","0","0",NA
"1992","1245","2","141","418","816","R1W","0","1","1","0"
"1993","1245","2","178","426","787","R1W","0","2","2","0.0625"
"1994","1245","2","178","426","787","R1W","0","1","1","0.125"
"1995","1245","2","178","426","787","R1W","0","6","4","0.0234375"
"1996","1245","2","178","426","787","R1W","0","2","2","0.015625"
"1992","1247","1","174","441","774","R1W","0","0","0",NA
"1993","1247","1","176","455","766","R1W","0","4","4","0.046875"
"1994","1247","1","176","455","766","R1W","0","3","3","0.03125"
"1995","1247","1","176","455","766","R1W","0","3","2","0.03125"
"1991","1248","1","16","854","997","R1E","0","0","0",NA
"1992","1248","1","16","854","997","R1E","0","0","0",NA
"1992","1250","1","73","911","800","R1E","0.125","0","0",NA
"1993","1250","1","53","884","811","R1E","0.125","3","3","0.0260416666666667"
"1994","1250","1","53","884","811","R1E","0.125","2","2","0.23046875"
"1995","1250","1","53","884","811","R1E","0.125","0","0",NA
"1995","1261","1","92","155","90","R2","0","0","0",NA
"1996","1261","1","92","155","90","R2","0","0","0",NA
"1995","1262","2","93","176","88","R2","0","10","6","0"
"1996","1262","2","93","176","88","R2","0","0","0",NA
"1995","1267","2","7","106","306","R2","0","2","1","0"
"1996","1267","2","7","106","306","R2","0","2","1","0"
"1992","1278","2","178","426","787","R1W","0","0","0",NA
"1993","1278","2","174","441","774","R1W","0","2","2","0.0625"
"1994","1278","2","139","415","842","R1W","0","2","1","0"
"1991","1280","2","204","511","791","R1W","0","0","0",NA
"1992","1280","2","204","511","791","R1W","0","3","2","0"
"1993","1280","2","204","511","791","R1W","0","1","1","0"
"1994","1280","2","202","509","812","R1W","0","1","1","0"
"1992","1282","2","234","554","858","R1W","0","0","0",NA
"1993","1282","2","234","554","858","R1W","0","0","0",NA
"1994","1282","2","234","554","858","R1W","0","2","2","0.046875"
"1991","1285","2","251","592","749","R1W","0","0","0",NA
"1992","1285","2","251","592","749","R1W","0","0","0",NA
"1992","1354","1","176","455","766","R1W","0","0","0",NA
"1993","1354","1","176","455","766","R1W","0","0","0",NA
"1992","1356","1","10","304","793","R1W","0","0","0",NA
"1993","1356","1","10","304","793","R1W","0","2","2","0.0625"
"1991","1357","2","147","387","791","R1W","0","0","0",NA
"1992","1357","2","147","387","791","R1W","0","1","1","0"
"1993","1357","2","147","387","791","R1W","0","1","1","0"
"1994","1357","2","147","387","791","R1W","0","2","2","0"
"1995","1357","2","147","387","791","R1W","0","2","2","0.125"
"1996","1357","2","147","387","791","R1W","0","3","2","0.1875"
"1997","1357","2","147","387","791","R1W","0","0","0",NA
"1998","1357","2","147","387","791","R1W","0","1","1","0"
"1992","1359","2","60","927","902","R1E","0","0","0",NA
"1993","1359","2","60","927","902","R1E","0","0","0",NA
"1992","1361","1","200","517","842","R1W","0","0","0",NA
"1993","1361","1","200","517","842","R1W","0","0","0",NA
"1994","1361","1","200","517","842","R1W","0","0","0",NA
"1992","1404","1","73","911","800","R1E","0.125","0","0",NA
"1993","1404","1","73","911","800","R1E","0.125","2","2","0.234375"
"1991","1405","1","236","568","813","R1W","0","0","0",NA
"1992","1405","1","236","568","813","R1W","0","2","1","0.125"
"1993","1405","1","236","568","813","R1W","0","2","1","0.125"
"1992","1439","1","246","592","856","R1W","0","0","0",NA
"1993","1439","1","247","583","860","R1W","0","2","1","0"
"1994","1439","1","236","568","813","R1W","0","2","2","0"
"1995","1439","1","236","568","813","R1W","0","1","1","0.03125"
"1992","1440","1","182","414","722","R1W","0","0","0",NA
"1993","1440","1","182","414","722","R1W","0","2","2","0"
"1994","1440","1","151","399","775","R1W","0","1","1","0"
"1992","1443","1","63","935","890","R1E","0","0","0",NA
"1993","1443","1","63","935","890","R1E","0","2","2","0.0625"
"1994","1443","1","61","940","903","R1E","0","0","0",NA
"1995","1443","1","61","940","903","R1E","0","0","0",NA
"1991","1444","2","48","853","886","R1E","0","0","0",NA
"1992","1444","2","48","853","886","R1E","0","5","5","0.025"
"1992","1445","2","50","888","882","R1E","0","0","0",NA
"1993","1445","2","50","888","882","R1E","0","0","0",NA
"1991","1446","2","225","461","708","R1W","0","0","0",NA
"1992","1446","2","225","461","708","R1W","0","0","0",NA
"1993","1446","2","225","461","708","R1W","0","2","2","0.0625"
"1994","1446","2","226","467","692","R1W","0","1","1","0.03125"
"1995","1446","2","183","452","722","R1W","0","0","0",NA
"1996","1446","2","184","463","742","R1W","0","3","3","0.0208333333333333"
"1992","1447","2","181","404","733","R1W","0","0","0",NA
"1993","1447","2","181","404","733","R1W","0","1","1","0"
"1994","1447","2","181","404","733","R1W","0","1","1","0"
"1995","1447","2","181","404","733","R1W","0","0","0",NA
"1996","1447","2","181","404","733","R1W","0","0","0",NA
"1997","1447","2","155","405","747","R1W","0","0","0",NA
"1998","1447","2","155","405","747","R1W","0","0","0",NA
"1992","1448","1","48","853","886","R1E","0","0","0",NA
"1993","1448","1","48","853","886","R1E","0","0","0",NA
"1995","1457","2","168","264","94","R2","0","5","3","0"
"1996","1457","2","168","264","94","R2","0","1","1","0"
"1995","1476","1","5","92","328","R2","0","4","4","0"
"1996","1476","1","5","92","328","R2","0","5","3","0"
"1997","1476","1","5","92","328","R2","0","1","1","0.25"
"1995","1484","2","91","143","87","R2","0","1","1","0"
"1996","1484","2","91","143","87","R2","0","0","0",NA
"1992","1559","2","61","940","903","R1E","0","0","0",NA
"1993","1559","2","61","940","903","R1E","0","3","3","0.0885416666666667"
"1994","1559","2","60","927","902","R1E","0","1","1","0.03125"
"1995","1559","2","60","927","902","R1E","0","2","1","0.05859375"
"1996","1559","2","63","935","890","R1E","0","2","2","0.0341796875"
"1992","1560","2","32","868","984","R1E","0","0","0",NA
"1993","1560","2","32","868","984","R1E","0","0","0",NA
"1994","1560","2","32","868","984","R1E","0","3","1","0.125"
"1995","1560","2","16","854","997","R1E","0","0","0",NA
"1992","1561","1","38","889","972","R1E","0","0","0",NA
"1993","1561","1","38","889","972","R1E","0","1","1","0.0625"
"1994","1561","1","56","907","991","R1E","0","1","1","0.109375"
"1995","1561","1","56","907","991","R1E","0","0","0",NA
"1992","1562","1","68","943","860","R1E","0","0","0",NA
"1993","1562","1","68","943","860","R1E","0","1","1","0"
"1992","1563","1","38","889","972","R1E","0","0","0",NA
"1993","1563","1","38","889","972","R1E","0","0","0",NA
"1992","1564","1","22","812","898","R1E","0","0","0",NA
"1993","1564","1","22","812","898","R1E","0","0","0",NA
"1992","1565","1","63","935","890","R1E","0","0","0",NA
"1993","1565","1","63","935","890","R1E","0","1","1","0"
"1992","1566","1","40","888","940","R1E","0","0","0",NA
"1993","1566","1","40","888","940","R1E","0","0","0",NA
"1992","1567","2","202","509","812","R1W","0","0","0",NA
"1993","1567","2","202","509","812","R1W","0","0","0",NA
"1994","1567","2","235","527","826","R1W","0","3","3","0.0729166666666667"
"1992","1568","2","151","399","775","R1W","0","0","0",NA
"1993","1568","2","151","399","775","R1W","0","2","2","0.09375"
"1994","1568","2","149","394","780","R1W","0","1","0",NA
"1995","1568","2","149","394","780","R1W","0","0","0",NA
"1996","1568","2","145","404","789","R1W","0","0","0",NA
"1992","1570","1","149","394","780","R1W","0","0","0",NA
"1993","1570","1","149","394","780","R1W","0","0","0",NA
"1992","1571","1","30","833","826","R1E","0","0","0",NA
"1993","1571","1","30","833","826","R1E","0","1","1","0.0625"
"1994","1571","1","31","826","815","R1E","0","2","2","0.0390625"
"1992","1572","2","145","404","789","R1W","0","0","0",NA
"1993","1572","2","145","404","789","R1W","0","1","1","0"
"1992","1573","2","215","526","764","R1W","0","0","0",NA
"1993","1573","2","215","526","764","R1W","0","1","0",NA
"1994","1573","2","215","526","764","R1W","0","1","1","0"
"1995","1573","2","215","526","764","R1W","0","3","3","0"
"1996","1573","2","215","526","764","R1W","0","0","0",NA
"1992","1575","2","109","967","871","R1E","0","0","0",NA
"1993","1575","2","109","967","871","R1E","0","1","1","0"
"1994","1575","2","109","967","871","R1E","0","1","1","0"
"1992","1576","1","68","943","860","R1E","0","0","0",NA
"1993","1576","1","68","943","860","R1E","0","2","2","0"
"1992","1577","1","250","575","792","R1W","0","0","0",NA
"1993","1577","1","213","470","786","R1W","0","1","1","0"
"1994","1577","1","213","470","786","R1W","0","2","2","0"
"1992","1578","2","73","911","800","R1E","0.0625","0","0",NA
"1993","1578","2","73","911","800","R1E","0.0625","0","0",NA
"1992","1580","1","106","998","887","R1E","0","0","0",NA
"1993","1580","1","106","998","887","R1E","0","0","0",NA
"1994","1580","1","106","998","887","R1E","0","0","0",NA
"1992","1582","2","276","764","829","R1E","0.0625","0","0",NA
"1993","1582","2","276","764","829","R1E","0.0625","1","1","0.09375"
"1992","1586","2","237","543","809","R1W","0","0","0",NA
"1993","1586","2","237","543","809","R1W","0","2","1","0.125"
"1994","1586","2","237","543","809","R1W","0","0","0",NA
"1993","1588","1","49","873","887","R1E","0","0","0",NA
"1994","1588","1","32","868","984","R1E","0","5","3","0.0729166666666667"
"1995","1588","1","32","868","984","R1E","0","6","4","0.1484375"
"1996","1588","1","32","868","984","R1E","0","5","4","0.2265625"
"1992","1589","2","69","896","857","R1E","0","0","0",NA
"1993","1589","2","69","896","857","R1E","0","2","2","0"
"1994","1589","2","69","896","857","R1E","0","4","4","0"
"1995","1589","2","69","896","857","R1E","0","2","2","0.125"
"1996","1589","2","69","896","857","R1E","0","0","0",NA
"1993","1595","1","247","583","860","R1W","0","0","0",NA
"1994","1595","1","247","583","860","R1W","0","1","1","0.03125"
"1995","1595","1","247","583","860","R1W","0","1","1","0.0625"
"1996","1595","1","246","592","856","R1W","0","0","0",NA
"1995","1597","2","167","230","94","R2","0","8","4","0"
"1996","1597","2","167","230","94","R2","0","0","0",NA
"1995","1600","2","193","304","215","R2","0","1","1","0"
"1996","1600","2","193","304","215","R2","0","0","0",NA
"1995","1601","2","232","365","248","R2","0","1","1","0"
"1996","1601","2","232","365","248","R2","0","0","0",NA
"1993","1602","2","174","441","774","R1W","0.125","0","0",NA
"1994","1602","2","172","439","787","R1W","0.125","0","0",NA
"1995","1605","1","138","198","87","R2","0","6","3","0"
"1996","1605","1","138","198","87","R2","0","0","0",NA
"1993","1606","2","66","904","885","R1E","0.0625","0","0",NA
"1994","1606","2","38","889","972","R1E","0.0625","1","1","0.234375"
"1993","1607","2","176","455","766","R1W","0","0","0",NA
"1994","1607","2","174","441","774","R1W","0","0","0",NA
"1995","1607","2","174","441","774","R1W","0","1","1","0"
"1993","1610","1","249","586","837","R1W","0","0","0",NA
"1994","1610","1","249","586","837","R1W","0","0","0",NA
"1993","1611","2","182","414","722","R1W","0","0","0",NA
"1994","1611","2","182","414","722","R1W","0","1","1","0"
"1995","1611","2","182","414","722","R1W","0","1","1","0"
"1993","1612","2","61","940","903","R1E","0.125","0","0",NA
"1994","1612","2","61","940","903","R1E","0.125","0","0",NA
"1993","1613","1","137","402","844","R1W","0","0","0",NA
"1994","1613","1","137","402","844","R1W","0","0","0",NA
"1993","1614","2","23","825","886","R1E","0","0","0",NA
"1994","1614","2","50","888","882","R1E","0","2","2","0.125"
"1995","1614","2","49","873","887","R1E","0","0","0",NA
"1996","1614","2","49","873","887","R1E","0","2","2","0.0556640625"
"1997","1614","2","49","873","887","R1E","0","0","0",NA
"1993","1615","2","24","844","882","R1E","0.0625","0","0",NA
"1994","1615","2","49","873","887","R1E","0.0625","2","2","0.205078125"
"1993","1617","1","66","904","885","R1E","0.125","0","0",NA
"1994","1617","1","66","904","885","R1E","0.125","0","0",NA
"1993","1618","1","179","435","801","R1W","0.125","0","0",NA
"1994","1618","1","250","575","792","R1W","0.125","0","0",NA
"1995","1618","1","251","592","749","R1W","0.125","2","2","0.0234375"
"1993","1621","2","39","875","931","R1E","0","0","0",NA
"1994","1621","2","42","879","951","R1E","0","2","2","0.09375"
"1995","1621","2","42","879","951","R1E","0","4","2","0.15625"
"1996","1621","2","42","879","951","R1E","0","3","3","0.182291666666667"
"1997","1621","2","42","879","951","R1E","0","1","1","0.09375"
"1993","1622","2","53","884","811","R1E","0","0","0",NA
"1994","1622","2","52","879","822","R1E","0","4","4","0.1015625"
"1995","1622","2","52","879","822","R1E","0","0","0",NA
"1996","1622","2","52","879","822","R1E","0","0","0",NA
"1993","1623","1","68","943","860","R1E","0","0","0",NA
"1994","1623","1","68","943","860","R1E","0","1","1","0.03125"
"1995","1623","1","109","967","871","R1E","0","3","3","0.0729166666666667"
"1996","1623","1","108","968","881","R1E","0","0","0",NA
"1993","1625","2","102","974","912","R1E","0","0","0",NA
"1994","1625","2","102","974","912","R1E","0","1","1","0.0625"
"1995","1625","2","102","974","912","R1E","0","4","3","0.0625"
"1996","1625","2","102","974","912","R1E","0","4","2","0.0234375"
"1993","1626","1","180","425","812","R1W","0","0","0",NA
"1994","1626","1","180","425","812","R1W","0","2","2","0.046875"
"1993","1627","1","235","527","826","R1W","0","0","0",NA
"1994","1627","1","200","517","842","R1W","0","2","2","0.03125"
"1995","1627","1","200","517","842","R1W","0","0","0",NA
"1993","1628","2","225","461","708","R1W","0","0","0",NA
"1994","1628","2","225","461","708","R1W","0","0","0",NA
"1993","1629","1","182","414","722","R1W","0","0","0",NA
"1994","1629","1","182","414","722","R1W","0","0","0",NA
"1993","1630","1","176","455","766","R1W","0.125","0","0",NA
"1994","1630","1","176","455","766","R1W","0.125","0","0",NA
"1993","1631","2","145","404","789","R1W","0","0","0",NA
"1994","1631","2","145","404","789","R1W","0","0","0",NA
"1993","1632","1","105","1009","906","R1E","0","0","0",NA
"1994","1632","1","105","1009","906","R1E","0","1","1","0"
"1993","1633","1","103","986","912","R1E","0","0","0",NA
"1994","1633","1","103","986","912","R1E","0","0","0",NA
"1993","1634","2","102","974","912","R1E","0","0","0",NA
"1994","1634","2","102","974","912","R1E","0","1","1","0"
"1993","1635","1","24","844","882","R1E","0","0","0",NA
"1994","1635","1","244","631","927","R1W","0","0","0",NA
"1995","1635","1","244","631","927","R1W","0","0","0",NA
"1993","1636","2","38","889","972","R1E","0.078125","0","0",NA
"1994","1636","2","38","889","972","R1E","0.078125","1","1","0.109375"
"1995","1636","2","38","889","972","R1E","0.078125","2","1","0.125"
"1996","1636","2","38","889","972","R1E","0.078125","1","1","0.08203125"
"1997","1636","2","38","889","972","R1E","0.078125","1","1","0.10546875"
"1998","1636","2","38","889","972","R1E","0.078125","0","0",NA
"1993","1637","1","38","889","972","R1E","0.0625","0","0",NA
"1994","1637","1","38","889","972","R1E","0.0625","0","0",NA
"1993","1638","1","39","875","931","R1E","0.125","0","0",NA
"1994","1638","1","39","875","931","R1E","0.125","0","0",NA
"1993","1639","1","66","904","885","R1E","0","0","0",NA
"1994","1639","1","108","968","881","R1E","0","1","1","0"
"1993","1640","1","48","853","886","R1E","0.3125","0","0",NA
"1994","1640","1","49","873","887","R1E","0.3125","3","3","0.188802083333333"
"1995","1640","1","49","873","887","R1E","0.3125","0","0",NA
"1993","1641","2","22","812","898","R1E","0.09375","0","0",NA
"1994","1641","2","22","812","898","R1E","0.09375","3","3","0.109375"
"1995","1641","2","22","812","898","R1E","0.09375","1","1","0.08984375"
"1996","1641","2","23","825","886","R1E","0.09375","3","2","0.095703125"
"1997","1641","2","23","825","886","R1E","0.09375","4","3","0.0989583333333333"
"1993","1642","2","10","304","793","R1W","0.0625","0","0",NA
"1994","1642","2","10","304","793","R1W","0.0625","1","1","0.09375"
"1995","1642","2","10","304","793","R1W","0.0625","0","0",NA
"1996","1642","2","10","304","793","R1W","0.0625","0","0",NA
"1997","1642","2","10","304","793","R1W","0.0625","2","1","0"
"1993","1643","2","10","304","793","R1W","0.0625","0","0",NA
"1994","1643","2","10","304","793","R1W","0.0625","0","0",NA
"1993","1644","1","137","402","844","R1W","0","0","0",NA
"1994","1644","1","137","402","844","R1W","0","0","0",NA
"1993","1645","2","224","462","718","R1W","0.0625","0","0",NA
"1994","1645","2","224","462","718","R1W","0.0625","0","0",NA
"1993","1646","2","275","776","861","R1E","0","0","0",NA
"1994","1646","2","275","776","861","R1E","0","2","2","0.01953125"
"1993","1647","1","102","974","912","R1E","0","0","0",NA
"1994","1647","1","103","986","912","R1E","0","1","1","0.25"
"1995","1647","1","103","986","912","R1E","0","4","2","0.0703125"
"1996","1647","1","103","986","912","R1E","0","0","0",NA
"1993","1648","1","39","875","931","R1E","0","0","0",NA
"1994","1648","1","39","875","931","R1E","0","1","1","0.1875"
"1995","1648","1","39","875","931","R1E","0","1","1","0.015625"
"1993","1649","1","24","844","882","R1E","0.25","0","0",NA
"1994","1649","1","24","844","882","R1E","0.25","0","0",NA
"1993","1650","1","66","904","885","R1E","0.125","0","0",NA
"1994","1650","1","67","912","878","R1E","0.125","3","3","0.0989583333333333"
"1995","1650","1","67","912","878","R1E","0.125","0","0",NA
"1993","1651","1","251","592","749","R1W","0.125","0","0",NA
"1994","1651","1","251","592","749","R1W","0.125","3","3","0.0729166666666667"
"1995","1703","2","160","249","164","R2","0","1","1","0"
"1996","1703","2","160","249","164","R2","0","3","2","0"
"1997","1703","2","160","249","164","R2","0","1","1","0"
"1995","1716","2","199","288","135","R2","0","4","2","0"
"1996","1716","2","199","288","135","R2","0","0","0",NA
"1995","1722","1","81","122","257","R2","0","0","0",NA
"1996","1722","1","87","163","205","R2","0","2","1","0"
"1997","1722","1","87","163","205","R2","0","1","1","0"
"1998","1722","1","87","163","205","R2","0","0","0",NA
"1995","1729","2","278","310","6","R2","0","0","0",NA
"1996","1729","2","278","310","6","R2","0","1","1","0"
"1997","1729","2","278","310","6","R2","0","3","2","0"
"1995","1736","1","88","173","144","R2","0","1","1","0"
"1996","1736","1","88","173","144","R2","0","2","2","0"
"1994","1739","2","183","452","722","R1W","0","4","4","0"
"1995","1739","2","183","452","722","R1W","0","0","0",NA
"1995","1751","1","198","290","162","R2","0","3","1","0"
"1996","1751","1","198","290","162","R2","0","0","0",NA
"1995","1754","2","3","112","351","R2","0","1","1","0"
"1996","1754","2","3","112","351","R2","0","0","0",NA
"1995","1762","1","134","223","118","R2","0","5","4","0"
